all,LM,GI,HW
reduction,,,
redundancy,,,
redundant,,,
refrain,,,
refugee,,,
refusal,,,
refusals,,,
refuse,,,
refuse#1,,,
refused,,,
refuses,,,
refusing,,,
regardless,,,
regress,,,
regression,,,
regret#1,,,
regret#2,,,
regrettable,,,
reject,,,
rejected,,,
rejecting,,,
rejection,,,
rejections,,,
rejects,,,
relapse,,,
relative#2,,,
relative#3,,,
relax,,,
reliance,,,
relinquish,,,
relinquished,,,
relinquishes,,,
relinquishing,,,
relinquishment,,,
relinquishments,,,
reluctance,,,
reluctant,,,
rely,,,
remorse,,,
remote,,,
renegotiate,,,
renegotiated,,,
renegotiates,,,
renegotiating,,,
renegotiation,,,
renegotiations,,,
renounce,,,
renounced,,,
renouncement,,,
renouncements,,,
renounces,,,
renouncing,,,
renunciation,,,
reparation,,,
reparations,,,
repeal,,,
repel,,,
repossessed,,,
repossesses,,,
repossessing,,,
repossession,,,
repossessions,,,
reprehensible,,,
repress,,,
reproach,,,
repudiate,,,
repudiated,,,
repudiates,,,
repudiating,,,
repudiation,,,
repudiations,,,
repugnant,,,
repulse,,,
repulsive,,,
request#1,,,
request#2,,,
request#3,,,
resent,,,
resentful,,,
resentment,,,
resign,,,
resignation,,,
resignations,,,
resigned,,,
resigning,,,
resigns,,,
resist,,,
resistance,,,
restate,,,
restated,,,
restatement,,,
restatements,,,
restates,,,
restating,,,
restless,,,
restlessness,,,
restrain,,,
restrict#1,,,
restrict#2,,,
restrict#3,,,
restriction,,,
restructure,,,
restructured,,,
restructures,,,
restructuring,,,
restructurings,,,
retaliate,,,
retaliated,,,
retaliates,,,
retaliating,,,
retaliation,,,
retaliations,,,
retaliatory,,,
retard,,,
retire,,,
retreat#1,,,
retreat#2,,,
retribution,,,
retributions,,,
revenge,,,
revert,,,
revocation,,,
revocations,,,
revoke,,,
revoked,,,
revokes,,,
revoking,,,
revolt,,,
revolution,,,
revolutionary,,,
rid,,,
ride#3,,,
ridicule,,,
ridicule#1,,,
ridicule#2,,,
ridiculed,,,
ridicules,,,
ridiculing,,,
ridiculous,,,
rifle,,,
rigid,,,
rigor,,,
rigorous,,,
rip#1,,,
rip#2,,,
riskier,,,
riskiest,,,
risky,,,
rival#1,,,
rival#2,,,
rivalry,,,
robber,,,
robbery,,,
rogue,,,
root#4,,,
rot,,,
rotten,,,
rough#1,,,
roughness,,,
roundabout,,,
rubbish,,,
rude,,,
rue,,,
ruffian,,,
ruin#1,,,
ruin#2,,,
ruin#3,,,
ruin#4,,,
ruinous,,,
rumor,,,
rumple,,,
run#4,,,
run#5,,,
run#6,,,
runaway,,,
rupture#1,,,
rupture#2,,,
rusty,,,
ruthless,,,
ruthlessness,,,
sabotage,,,
sacrifice,,,
sacrificed,,,
sacrifices,,,
sacrificial,,,
sacrificing,,,
sad,,,
sadness,,,
sag,,,
sank,,,
sap,,,
sarcasm,,,
sarcastic,,,
savage,,,
scald,,,
scandal,,,
scandalous,,,
scandals,,,
scant,,,
scapegoat,,,
scar,,,
scarce,,,
scarcely,,,
scarcity,,,
scare#1,,,
scare#2,,,
scared#1,,,
scared#2,,,
scary,,,
scheme#1,,,
scheme#2,,,
scoff,,,
scold#1,,,
scold#2,,,
scorch,,,
scorn,,,
scornful,,,
scoundrel,,,
scowl,,,
scramble,,,
scrape,,,
scratch,,,
scrawl,,,
scream#1,,,
scream#2,,,
screech#1,,,
screech#2,,,
screw#2,,,
scrutinize,,,
scrutinized,,,
scrutinizes,,,
scrutinizing,,,
scrutiny,,,
scuffle,,,
scum,,,
secede,,,
secession,,,
secrecy,,,
secret,,,
sedentary,,,
seethe,,,
segregation,,,
seize,,,
seized,,,
seizes,,,
seizing,,,
selfish,,,
selfishness,,,
senile,,,
senseless,,,
sentence#2,,,
sentenced,,,
sentencing,,,
sentiment,,,
sentimental,,,
sequester,,,
serious,,,
seriously,,,
seriousness,,,
serve#1,,,
serve#4,,,
service#3,,,
servitude,,,
setback,,,
setbacks,,,
sever,,,
severe,,,
severed,,,
severely,,,
severities,,,
severity,,,
shabby,,,
shadow#2,,,
shady,,,
shaft#2,,,
shaggy,,,
shake#1,,,
shallow,,,
shame,,,
shameful,,,
shameless,,,
shark,,,
sharply,,,
shatter,,,
shell#2,,,
shell#3,,,
shift#5,,,
shipwreck,,,
shirk,,,
shiver,,,
shock#1,,,
shock#2,,,
shock#3,,,
shock#4,,,
shock#5,,,
shocked,,,
shoddy,,,
shoot#1,,,
shoot#3,,,
shoot#6,,,
short#5,,,
shortage,,,
shortages,,,
shortcoming,,,
shortfall,,,
shortfalls,,,
shortsighted,,,
shot#1,,,
shove,,,
show#4,,,
shrank,,,
shred,,,
shrew,,,
shriek,,,
shrill,,,
shrink,,,
shrinkage,,,
shrinkages,,,
shrivel,,,
shroud,,,
shrug#1,,,
shrug#2,,,
shrunk,,,
shudder#1,,,
shudder#2,,,
shun,,,
shut,,,
shut#2,,,
shutdown,,,
shutdowns,,,
shuts,,,
shutting,,,
shy,,,
shyness,,,
sick#1,,,
sick#2,,,
sick#3,,,
sick#4,,,
sickly,,,
sickness,,,
siege,,,
silly,,,
simplistic,,,
sin#1,,,
sin#2,,,
sinful,,,
sinister,,,
sink#2,,,
skeptical,,,
sketchy,,,
skirmish,,,
skulk,,,
slam,,,
slander,,,
slandered,,,
slanderer,,,
slanderous,,,
slanders,,,
slap,,,
slash,,,
slaughter,,,
slave#1,,,
slayer,,,
sleazy,,,
sleepless,,,
slender,,,
slept,,,
slight#1,,,
slight#2,,,
slight#3,,,
slight#4,,,
slight#5,,,
slim,,,
slime,,,
slippage,,,
slippages,,,
sloppy,,,
sloth,,,
slothful,,,
slow,,,
slowdown,,,
slowdowns,,,
slowed,,,
slower,,,
slowest,,,
slowing,,,
slowly,,,
slowness,,,
slug,,,
sluggish,,,
sluggishly,,,
sluggishness,,,
slump,,,
sly,,,
smack,,,
small#1,,,
small#2,,,
small#3,,,
smash#1,,,
smash#2,,,
smear,,,
smother,,,
smuggle,,,
snare,,,
snarl,,,
snatch,,,
sneak,,,
sneer,,,
snore,,,
sob,,,
soft#1,,,
soft#2,,,
soft#3,,,
soft#5,,,
solvencies,,,
solvency,,,
somber,,,
sore,,,
soreness,,,
sorrow,,,
sorrowful,,,
sorry#1,,,
sorry#2,,,
sort#3,,,
sour,,,
spam,,,
spammers,,,
spamming,,,
spank,,,
spear#1,,,
spear#2,,,
speechless,,,
spend#3,,,
spill,,,
spinster,,,
spite#2,,,
spiteful,,,
split#1,,,
split#2,,,
split#3,,,
spoil,,,
sporadic,,,
spot#5,,,
sprain,,,
sputter,,,
squander,,,
stab,,,
stagger,,,
staggering,,,
stagnant,,,
stagnate,,,
stagnated,,,
stagnates,,,
stagnating,,,
stagnation,,,
stain,,,
stale,,,
stalemate,,,
stall#2,,,
stammer,,,
stamp#2,,,
standstill,,,
standstills,,,
stark,,,
startle,,,
starvation,,,
starve,,,
static,,,
steal#1,,,
steal#2,,,
stern,,,
stick#4,,,
stick#6,,,
stifle,,,
stigma,,,
sting,,,
stink,,,
stole,,,
stolen,,,
stolen#1,,,
stolen#2,,,
stone#2,,,
stop#2,,,
stoppage,,,
stoppages,,,
stopped,,,
stopping,,,
stops,,,
storm#2,,,
stormy,,,
straggle,,,
straggler,,,
strain,,,
strain#1,,,
strain#2,,,
strained,,,
straining,,,
strains,,,
strangle,,,
stray,,,
stress,,,
stress#1,,,
stress#2,,,
stressed,,,
stresses,,,
stressful,,,
stressing,,,
stricken,,,
strict#1,,,
strict#2,,,
strict#3,,,
strife,,,
strike#1,,,
strike#3,,,
strike#5,,,
stringent,,,
strip#2,,,
struck#1,,,
struggle#1,,,
struggle#2,,,
struggle#3,,,
stubborn,,,
stubbornly,,,
stubbornness,,,
study#3,,,
stuffy,,,
stumble,,,
stun,,,
stunt,,,
stupid#1,,,
stupid#2,,,
stupid#3,,,
stupidity,,,
stupor,,,
subdue,,,
subjected,,,
subjecting,,,
subjection,,,
subjugate,,,
subjugation,,,
submissive,,,
submit,,,
subordinate,,,
subpoena,,,
subpoenaed,,,
subpoenas,,,
subservience,,,
subside,,,
substandard,,,
substitution,,,
subtract,,,
subversion,,,
subvert,,,
succumb,,,
sucker,,,
sue,,,
sued,,,
sues,,,
suffer,,,
suffer#1,,,
suffer#2,,,
suffer#3,,,
suffered,,,
sufferer,,,
suffering,,,
suffers,,,
suffocate,,,
suing,,,
sullen,,,
summoned,,,
summoning,,,
summons,,,
summonses,,,
sunder,,,
sunk,,,
sunken,,,
superficial,,,
superficiality,,,
superfluous,,,
superstition,,,
superstitious,,,
suppress,,,
suppression,,,
surrender#1,,,
surrender#2,,,
surround#2,,,
susceptibility,,,
susceptible,,,
suspect,,,
suspect#1,,,
suspect#2,,,
suspected,,,
suspects,,,
suspend,,,
suspended,,,
suspending,,,
suspends,,,
suspension,,,
suspensions,,,
suspicion,,,
suspicions,,,
suspicious,,,
suspiciously,,,
swear,,,
sword,,,
swore,,,
symptom,,,
taboo,,,
taint,,,
tainted,,,
tainting,,,
taints,,,
tamper,,,
tampered,,,
tantrum,,,
tardy,,,
tariff,,,
tatter,,,
taunt#1,,,
taunt#2,,,
tax#2,,,
tear#1,,,
tear#3,,,
tease,,,
tedious,,,
temper#1,,,
temper#2,,,
tempest,,,
temporarily,,,
temporary,,,
temptation,,,
tender,,,
tense,,,
tension,,,
tentative,,,
terminate,,,
terminated,,,
terminates,,,
terminating,,,
termination,,,
terminations,,,
terrible,,,
terrify,,,
terror,,,
terrorism,,,
terrorize,,,
testify,,,
testifying,,,
theft,,,
thief,,,
thin,,,
thirst,,,
thirsty,,,
thorny,,,
thoughtless,,,
thrash,,,
threat,,,
threaten,,,
threatened,,,
threatening,,,
threatens,,,
threats,,,
throw#2,,,
throw#3,,,
thud,,,
thwart,,,
tightening,,,
time#7,,,
timid,,,
timidity,,,
tiny,,,
tire#2,,,
tire#3,,,
tire#4,,,
tired#1,,,
tired#2,,,
tired#3,,,
tired#4,,,
tiresome,,,
tnt,,,
toil,,,
tolerable,,,
tolerate,,,
tolerated,,,
tolerates,,,
tolerating,,,
toleration,,,
too#3,,,
topple,,,
torment,,,
torrent,,,
tortuous,,,
tortuously,,,
torturous,,,
touchy,,,
tough,,,
tragedies,,,
tragedy,,,
tragic,,,
tragically,,,
traitor,,,
tramp,,,
trample,,,
transgress,,,
trap#1,,,
trap#2,,,
trauma,,,
traumatic,,,
treacherous,,,
treachery,,,
treason,,,
treasonous,,,
tremble,,,
trespass,,,
trick#1,,,
trick#2,,,
trifle,,,
trigger,,,
trivial,,,
trouble,,,
trouble#1,,,
trouble#2,,,
trouble#3,,,
trouble#4,,,
troubled,,,
troubles,,,
troublesome,,,
truant,,,
trudge,,,
try#2,,,
try#4,,,
try#5,,,
turbulence,,,
turbulent,,,
turmoil,,,
turn#5,,,
turn#8,,,
twitch,,,
tyranny,,,
ugly,,,
ultimatum,,,
unable,,,
unacceptable,,,
unacceptably,,,
unaccounted,,,
unaccustomed,,,
unannounced,,,
unanticipated,,,
unapproved,,,
unarm,,,
unassured,,,
unattractive,,,
unauthentic,,,
unauthorized,,,
unavailability,,,
unavailable,,,
unavoidable,,,
unavoidably,,,
unaware,,,
unbearable,,,
unbelievable,,,
uncertain,,,
uncertainty,,,
uncivil,,,
unclean,,,
unclear,,,
uncollectable,,,
uncollected,,,
uncollectibility,,,
uncollectible,,,
uncollectibles,,,
uncomfortable,,,
uncompetitive,,,
uncompleted,,,
unconscionable,,,
unconscionably,,,
uncontrollable,,,
uncontrollably,,,
uncontrolled,,,
uncorrected,,,
uncouth,,,
uncover,,,
uncovered,,,
uncovering,,,
uncovers,,,
undecided,,,
undeliverable,,,
undelivered,,,
undependability,,,
undependable,,,
undercapitalized,,,
undercut,,,
undercuts,,,
undercutting,,,
underestimate,,,
underestimated,,,
underestimates,,,
underestimating,,,
underestimation,,,
underfunded,,,
underinsured,,,
undermine,,,
undermined,,,
undermines,,,
undermining,,,
underpaid,,,
underpayment,,,
underpayments,,,
underpays,,,
underperform,,,
underperformance,,,
underperformed,,,
underperforming,,,
underperforms,,,
underproduced,,,
underproduction,,,
underreporting,,,
understate,,,
understated,,,
understatement,,,
understatements,,,
understates,,,
understating,,,
underutilization,,,
underutilized,,,
underworld,,,
undesirable,,,
undesired,,,
undetected,,,
undetermined,,,
undid,,,
undignified,,,
undisclosed,,,
undo,,,
undocumented,,,
undone,,,
undue,,,
unduly,,,
uneasiness,,,
uneasy,,,
uneconomic,,,
uneconomical,,,
uneconomically,,,
unemployed,,,
unemployment,,,
unequal,,,
unethical,,,
unethically,,,
uneven,,,
unexcused,,,
unexpected,,,
unexpectedly,,,
unfair,,,
unfairly,,,
unfaithful,,,
unfamiliar,,,
unfavorability,,,
unfavorable,,,
unfavorably,,,
unfavourable,,,
unfeasible,,,
unfeeling,,,
unfinished,,,
unfit,,,
unfitness,,,
unforeseeable,,,
unforeseen,,,
unforseen,,,
unfortunate,,,
unfortunate#1,,,
unfortunate#2,,,
unfortunate#3,,,
unfortunately,,,
unfounded,,,
unfriendly,,,
unfulfilled,,,
unfunded,,,
ungrateful,,,
unguarded,,,
unhappiness,,,
unhappy,,,
unhealthy,,,
unimportant,,,
uninformed,,,
uninsured,,,
unintended,,,
unintentional,,,
unintentionally,,,
unjust,,,
unjustifiable,,,
unjustifiably,,,
unjustified,,,
unjustly,,,
unkind,,,
unknowing,,,
unknowingly,,,
unlawful,,,
unlawfully,,,
unleash,,,
unlicensed,,,
unliquidated,,,
unlucky,,,
unmarketable,,,
unmerchantable,,,
unmeritorious,,,
unmoved,,,
unnatural,,,
unnecessarily,,,
unnecessary,,,
unneeded,,,
unnerve,,,
unnoticed,,,
unobserved,,,
unobtainable,,,
unoccupied,,,
unpaid,,,
unperformed,,,
unplanned,,,
unpleasant,,,
unpopular,,,
unpredictability,,,
unpredictable,,,
unpredictably,,,
unpredicted,,,
unprepared,,,
unproductive,,,
unprofitability,,,
unprofitable,,,
unqualified,,,
unrealistic,,,
unreasonable,,,
unreasonableness,,,
unreasonably,,,
unreceptive,,,
unrecoverable,,,
unrecovered,,,
unreimbursed,,,
unreliability,,,
unreliable,,,
unremedied,,,
unreported,,,
unresolved,,,
unrest,,,
unruly,,,
unsafe,,,
unsalable,,,
unsaleable,,,
unsatisfactory,,,
unsatisfied,,,
unsavory,,,
unscheduled,,,
unscrupulous,,,
unseen,,,
unsellable,,,
unsettling,,,
unsold,,,
unsound,,,
unsoundness,,,
unspeakable,,,
unstabilized,,,
unstable,,,
unsteadiness,,,
unsteady,,,
unsubstantiated,,,
unsuccessful,,,
unsuccessfully,,,
unsuitability,,,
unsuitable,,,
unsuitably,,,
unsuited,,,
unsure,,,
unsureness,,,
unsuspected,,,
unsuspecting,,,
unsustainable,,,
untenable,,,
untimely,,,
untrained,,,
untrue,,,
untrusted,,,
untrustworthy,,,
untruth,,,
untruthful,,,
untruthfully,,,
untruthfulness,,,
untruths,,,
unusable,,,
unwanted,,,
unwarranted,,,
unwelcome,,,
unwilling,,,
unwillingness,,,
unwise,,,
unworthy,,,
upheaval,,,
uprising,,,
uproar,,,
uproot,,,
upset,,,
upset#1,,,
upset#2,,,
upset#3,,,
upset#4,,,
upset#5,,,
urgency,,,
urgent,,,
useless,,,
usurious,,,
usurp,,,
usurped,,,
usurping,,,
usurps,,,
usury,,,
utterance,,,
vacillate,,,
vagabond,,,
vagrant,,,
vague,,,
vagueness,,,
vain,,,
vandalism,,,
vanish,,,
vanity,,,
vehement,,,
vengeance,,,
venom,,,
venomous,,,
verdict,,,
verdicts,,,
veto,,,
vetoed,,,
vex,,,
vexation,,,
vexing,,,
vice#1,,,
vicious,,,
victim,,,
victims,,,
vie,,,
vile,,,
villain,,,
violate,,,
violated,,,
violates,,,
violating,,,
violation,,,
violations,,,
violative,,,
violator,,,
violators,,,
violence,,,
violent,,,
violently,,,
viper,,,
vitiate,,,
vitiated,,,
vitiates,,,
vitiating,,,
vitiation,,,
void,,,
voided,,,
voiding,,,
volatile,,,
volatility,,,
vomit,,,
vulgar,,,
vulnerabilities,,,
vulnerability,,,
vulnerable,,,
vulnerably,,,
wage#2,,,
wail,,,
wait#4,,,
walk#3,,,
wallow,,,
wane,,,
wanton,,,
war,,,
warfare,,,
warlike,,,
warn,,,
warned,,,
warning,,,
warnings,,,
warns,,,
warp,,,
warrior,,,
wary,,,
waste#1,,,
waste#2,,,
wasted,,,
wasteful,,,
wastefulness,,,
wasting,,,
waver,,,
wayward,,,
weak,,,
weak#1,,,
weak#2,,,
weaken,,,
weakened,,,
weakening,,,
weakens,,,
weaker,,,
weakest,,,
weakly,,,
weakness,,,
weaknesses,,,
weapon,,,
wear#2,,,
weariness,,,
wearisome,,,
weary,,,
wee,,,
weed,,,
weep,,,
weird,,,
wench,,,
whack,,,
wheel#2,,,
whimper,,,
whine,,,
whip#1,,,
whip#2,,,
whip#3,,,
whip#4,,,
wicked,,,
wickedness,,,
wild#1,,,
wild#2,,,
wild#3,,,
wild#4,,,
willfully,,,
wilt,,,
wily,,,
wince,,,
wind#4,,,
wish#1,,,
wish#2,,,
wishful,,,
witch#1,,,
witch#3,,,
witchcraft,,,
withdraw,,,
withdrawn,,,
withdrew,,,
wither,,,
withheld,,,
withhold,,,
withstand,,,
woe,,,
woeful,,,
worn#2,,,
worn#3,,,
worrier,,,
worries,,,
worry,,,
worry#1,,,
worry#2,,,
worry#3,,,
worry#4,,,
worry#5,,,
worrying,,,
worse,,,
worsen,,,
worsened,,,
worsening,,,
worsens,,,
worst,,,
worthless,,,
wound#1,,,
wound#3,,,
wound#5,,,
wrath,,,
wreck,,,
wrestle,,,
wretch,,,
wretchedness,,,
wrinkle,,,
writedown,,,
writedowns,,,
writeoff,,,
writeoffs,,,
writhe,,,
wrong,,,
wrong#1,,,
wrong#2,,,
wrong#3,,,
wrongdoing,,,
wrongdoings,,,
wrongful,,,
wrongfully,,,
wrongly,,,
wrought,,,
yawn,,,
yearn,,,
yelp,,,
yield#2,,,
negative ,,,
negatives ,,,
fail ,,,
fails ,,,
failing ,,,
failure ,,,
weak ,,,
weakness ,,,
weaknesses ,,,
difficult ,,,
hurdle ,,,
hurdles ,,,
obstacle ,,,
obstacles ,,,
slump ,,,
slumps ,,,
slumping ,,,
slumped ,,,
uncertain ,,,
unsettled ,,,
unfavorable ,,,
downturn ,,,
depressed ,,,
disappoint ,,,
disappoints ,,,
disappointed ,,,
disappointment ,,,
risk ,,,
risks ,,,
risky ,,,
threat ,,,
threats ,,,
penalty ,,,
penalties ,,,
down,,,
decrease ,,,
decreases ,,,
decreasing ,,,
decreased ,,,
decline ,,,
declines ,,,
declining ,,,
declined ,,,
fall ,,,
falls,,,
falling ,,,
fell ,,,
fallen ,,,
drop ,,,
drops ,,,
dropping ,,,
dropped ,,,
deteriorate ,,,
deteriorates ,,,
deteriorated ,,,
worsen ,,,
worsens ,,,
worsening ,,,
weaken ,,,
weakens ,,,
weakening ,,,
weakened ,,,
worst ,,,
low ,,,
lower ,,,
lowest ,,,
less ,,,
least ,,,
smaller ,,,
smallest ,,,
shrink ,,,
shrinks ,,,
shrinking ,,,
shrunk ,,,
below,,,
under ,,,
challenge ,,,
challenges ,,,
challenging ,,,
